Difficulty,Algorithm,Success,PathCost,NodesExpanded,MaxFrontierSize,Time_ms,Memory_KB
5,A* (H0 - Zero),True,3.0,277,194,4.179699986707419,86.3359375
5,A* (H1 - Heuristic),True,3.0,16,14,0.7593000045744702,5.5546875
5,BFS,True,3.0,60,43,0.5674999993061647,7.796875
5,A* (H0 - Zero),True,3.0,159,110,1.8570999964140356,31.2421875
5,A* (H1 - Heuristic),True,3.0,21,18,0.7341000018641353,6.390625
5,BFS,True,3.0,38,26,0.32130000181496143,5.5625
5,A* (H0 - Zero),True,1.0,17,15,0.1762999891070649,5.140625
5,A* (H1 - Heuristic),True,1.0,7,7,0.27659999614115804,3.8515625
5,BFS,True,1.0,3,2,0.019400002202019095,2.390625
5,A* (H0 - Zero),True,3.0,227,157,2.7442999999038875,45.125
5,A* (H1 - Heuristic),True,3.0,25,22,0.9122000046772882,7.015625
5,BFS,True,3.0,52,37,0.4378000012366101,5.90625
5,A* (H0 - Zero),True,1.0,17,15,0.26000000070780516,5.046875
5,A* (H1 - Heuristic),True,1.0,7,7,0.34830000367946923,3.765625
5,BFS,True,1.0,3,2,0.026699999580159783,2.34375
5,A* (H0 - Zero),True,1.0,17,15,0.22519999765791,5.0
5,A* (H1 - Heuristic),True,1.0,7,7,0.2888000017264858,3.71875
5,BFS,True,1.0,3,2,0.020699997548945248,2.3125
5,A* (H0 - Zero),True,3.0,141,100,2.0438999927137047,28.6328125
5,A* (H1 - Heuristic),True,3.0,15,13,0.5762000073445961,5.0625
5,BFS,True,3.0,35,23,0.38899999344721437,5.4140625
5,A* (H0 - Zero),True,1.0,15,13,0.17719999596010894,4.5625
5,A* (H1 - Heuristic),True,1.0,6,6,0.2386999985901639,3.453125
5,BFS,True,1.0,3,2,0.018700011423788965,2.2578125
5,A* (H0 - Zero),True,1.0,15,13,0.20760000916197896,4.5078125
5,A* (H1 - Heuristic),True,1.0,6,6,0.3003000019816682,3.40625
5,BFS,True,1.0,3,2,0.02340000355616212,2.2421875
5,A* (H0 - Zero),True,3.0,141,100,1.8579000025056303,28.515625
5,A* (H1 - Heuristic),True,3.0,15,13,0.5422999965958297,4.953125
5,BFS,True,3.0,35,23,0.31119999766815454,5.3671875
10,A* (H0 - Zero),True,2.0,56,45,0.5952000065008178,12.0
10,A* (H1 - Heuristic),True,2.0,11,10,0.45399999362416565,4.3046875
10,BFS,True,2.0,12,9,0.09329999738838524,3.0078125
10,A* (H0 - Zero),True,2.0,72,56,0.8776000031502917,15.2109375
10,A* (H1 - Heuristic),True,2.0,11,10,0.5988000048091635,4.28125
10,BFS,True,2.0,17,13,0.185800003237091,3.125
10,A* (H0 - Zero),True,2.0,64,52,0.7870999979786575,13.6640625
10,A* (H1 - Heuristic),True,2.0,14,12,0.7550000009359792,4.71875
10,BFS,True,2.0,13,10,0.12179999612271786,3.0234375
10,A* (H0 - Zero),True,0.0,0,0,0.024100008886307478,0.4296875
10,A* (H1 - Heuristic),True,0.0,0,0,0.059699988923966885,0.875
10,BFS,True,0.0,0,0,0.0030999945010989904,0.0859375
10,A* (H0 - Zero),True,4.0,364,231,5.657500005327165,79.7734375
10,A* (H1 - Heuristic),True,4.0,26,20,0.9196999890264124,6.671875
10,BFS,True,4.0,91,58,0.8961999992607161,16.0625
10,A* (H0 - Zero),True,4.0,243,165,3.0943000019760802,47.1015625
10,A* (H1 - Heuristic),True,4.0,20,17,0.7327000057557598,5.703125
10,BFS,True,4.0,60,40,0.5933000065851957,6.3984375
10,A* (H0 - Zero),True,2.0,107,84,1.250200002687052,23.0234375
10,A* (H1 - Heuristic),True,2.0,13,12,0.4604999994626269,4.6171875
10,BFS,True,2.0,24,19,0.1564999984111637,5.09375
10,A* (H0 - Zero),True,4.0,273,180,3.1827999919187278,51.3671875
10,A* (H1 - Heuristic),True,4.0,32,25,1.1155999964103103,7.6640625
10,BFS,True,4.0,62,42,0.5782999942312017,6.4296875
10,A* (H0 - Zero),True,2.0,107,84,1.4509000029647723,23.0234375
10,A* (H1 - Heuristic),True,2.0,13,12,0.4622999986167997,4.6171875
10,BFS,True,2.0,24,19,0.15759999223519117,5.09375
10,A* (H0 - Zero),True,0.0,0,0,0.019400002202019095,0.4296875
10,A* (H1 - Heuristic),True,0.0,0,0,0.04749999789055437,0.875
10,BFS,True,0.0,0,0,0.002700006007216871,0.0859375
15,A* (H0 - Zero),True,5.0,714,444,9.94830000854563,178.91796875
15,A* (H1 - Heuristic),True,5.0,21,17,0.7580999954370782,5.8515625
15,BFS,True,5.0,173,108,2.1286999981384724,21.8125
15,A* (H0 - Zero),True,1.0,17,15,0.19520000205375254,4.7734375
15,A* (H1 - Heuristic),True,1.0,7,7,0.2758999908110127,3.5078125
15,BFS,True,1.0,3,2,0.018000006093643606,2.2421875
15,A* (H0 - Zero),True,5.0,1282,737,19.591200005379505,286.68359375
15,A* (H1 - Heuristic),True,5.0,47,38,1.6190999886021018,10.3125
15,BFS,True,5.0,311,185,3.6576999991666526,63.9140625
15,A* (H0 - Zero),True,3.0,187,131,2.162399992812425,37.4296875
15,A* (H1 - Heuristic),True,3.0,18,16,0.632499999483116,5.484375
15,BFS,True,3.0,46,31,0.3922000032616779,5.703125
15,A* (H0 - Zero),True,9.0,20474,10551,405.5379999917932,5145.51953125
15,A* (H1 - Heuristic),True,9.0,438,260,20.596100002876483,82.4921875
15,BFS,True,9.0,5288,2751,97.524800003157,1489.12109375
15,A* (H0 - Zero),True,5.0,1001,616,14.036599997780286,198.73828125
15,A* (H1 - Heuristic),True,5.0,24,20,1.63569999858737,6.453125
15,BFS,True,5.0,230,145,4.534799998509698,21.9375
15,A* (H0 - Zero),True,9.0,21030,10531,492.62350000208244,5281.46484375
15,A* (H1 - Heuristic),True,9.0,810,459,33.01139999530278,153.68359375
15,BFS,True,9.0,5576,2803,100.53370000969153,1503.26953125
15,A* (H0 - Zero),True,5.0,1378,744,20.098300010431558,243.19140625
15,A* (H1 - Heuristic),True,5.0,60,48,2.0290999964345247,12.8984375
15,BFS,True,5.0,333,192,3.8736999995307997,58.578125
15,A* (H0 - Zero),True,7.0,3844,2067,59.76380000356585,809.83203125
15,A* (H1 - Heuristic),True,7.0,137,88,5.1807999989250675,25.3984375
15,BFS,True,7.0,983,535,13.932300003943965,100.21484375
15,A* (H0 - Zero),True,3.0,227,157,2.71499999507796,44.453125
15,A* (H1 - Heuristic),True,3.0,25,22,0.8624000038253143,6.71875
15,BFS,True,3.0,52,37,0.43200000072829425,5.78125
20,A* (H0 - Zero),False,-1.0,345552,139676,10000.07629999891,77994.31640625
20,A* (H1 - Heuristic),True,14.0,9552,5343,432.7198000100907,2382.26171875
20,BFS,True,14.0,135085,52626,4049.742100003641,32281.45703125
20,A* (H0 - Zero),True,4.0,346,218,4.525600001215935,68.09375
20,A* (H1 - Heuristic),True,4.0,23,19,0.8050000033108518,6.2734375
20,BFS,True,4.0,90,57,0.8593999955337495,14.984375
20,A* (H0 - Zero),True,4.0,431,258,5.621100004645996,82.25390625
20,A* (H1 - Heuristic),True,4.0,36,29,1.2716000055661425,8.4453125
20,BFS,True,4.0,107,69,1.0569000005489215,15.171875
20,A* (H0 - Zero),True,6.0,2251,1213,34.90359999705106,404.83984375
20,A* (H1 - Heuristic),True,6.0,74,52,2.903500004322268,14.390625
20,BFS,True,6.0,580,325,7.444700007908978,71.27734375
20,A* (H0 - Zero),True,8.0,6865,3653,126.56269999570213,1595.64453125
20,A* (H1 - Heuristic),True,8.0,156,106,6.089800008339807,30.1640625
20,BFS,True,8.0,1695,913,26.9791000027908,252.98046875
20,A* (H0 - Zero),True,8.0,10370,5764,193.6015000101179,2586.87890625
20,A* (H1 - Heuristic),True,8.0,127,89,4.487400001380593,25.3671875
20,BFS,True,8.0,2591,1435,38.16129999177065,398.33984375
20,A* (H0 - Zero),True,8.0,23182,11653,573.665499992785,5731.84765625
20,A* (H1 - Heuristic),True,8.0,471,315,20.339499998954125,95.78515625
20,BFS,True,8.0,5892,3049,126.20449998939876,1575.51953125
20,A* (H0 - Zero),True,4.0,768,445,11.387799997464754,147.13671875
20,A* (H1 - Heuristic),True,4.0,30,26,1.363100003800355,7.59375
20,BFS,True,4.0,181,114,3.4856000129366294,18.609375
20,A* (H0 - Zero),True,10.0,33487,16719,717.3065999959363,8276.66015625
20,A* (H1 - Heuristic),True,10.0,941,579,37.20629999588709,188.62890625
20,BFS,True,10.0,8838,4439,163.38340000947937,2235.76171875
20,A* (H0 - Zero),True,6.0,1359,799,20.154600002570078,259.61328125
20,A* (H1 - Heuristic),True,6.0,24,19,0.8839999936753884,6.4921875
20,BFS,True,6.0,337,200,4.246700002113357,59.0546875
